player_id,player_display_name,season_n,season_n1,breakout,touch_share,touches,carries,targets,yards_per_carry,ppr_per_touch,rush_yards_over_expected_per_att,has_ngs_rushing,avg_snap_pct,age,years_exp,draft_number,games_played,ppr_ppg,pos_rank,team_pos_rank,forty,vertical,broad_jump,cone,shuttle,combine_weight
00-0035831,James Robinson,2020,2021,0,0.7853403141361257,300,240,60,4.458333333333333,0.8346666666666667,0.1711691667818542,1,0.7007142857142857,22.0,0.0,300.0,14,17.885714285714286,5.0,1.0,4.64,40.0,125.0,7.03,4.19,219.0
00-0035831,James Robinson,2021,2022,0,0.5722070844686649,210,164,46,4.676829268292683,0.8280952380952381,-0.1005392717469073,1,0.5964285714285714,23.0,1.0,300.0,14,12.421428571428573,23.0,1.0,4.64,40.0,125.0,7.03,4.19,219.0
00-0036020,Salvon Ahmed,2020,2021,0,0.22938144329896906,89,75,14,4.253333333333333,0.7752808988764045,,0,0.5166666666666667,21.0,0.0,300.0,6,11.5,30.0,2.0,4.62,34.5,120.0,,,197.0
00-0036020,Salvon Ahmed,2021,2022,0,0.21037463976945245,73,54,19,2.759259259259259,0.5287671232876713,,0,0.2075,22.0,1.0,300.0,11,3.5090909090909093,90.0,2.0,4.62,34.5,120.0,,,197.0
00-0036020,Salvon Ahmed,2022,2023,0,0.03225806451612903,13,12,1,5.333333333333333,1.0923076923076922,,0,0.0815384615384615,23.0,2.0,300.0,6,2.3666666666666667,95.0,4.0,4.62,34.5,120.0,,,197.0
00-0036139,Rico Dowdle,2023,2024,1,0.24130434782608695,111,89,22,4.056179775280899,0.8243243243243243,,0,0.2211764705882353,25.0,3.0,300.0,16,5.71875,58.0,2.0,4.54,38.0,127.0,,,213.0
00-0036223,Jonathan Taylor,2020,2021,0,0.5055970149253731,271,232,39,5.038793103448276,0.9328413284132842,0.6616520849079559,1,0.5125,21.0,0.0,41.0,15,16.853333333333335,8.0,1.0,4.39,36.0,123.0,7.01,4.24,226.0
00-0036223,Jonathan Taylor,2021,2022,0,0.7721774193548387,383,332,51,5.454819277108434,0.9741514360313317,1.1929625056961874,1,0.6947058823529412,22.0,1.0,41.0,17,21.947058823529414,2.0,1.0,4.39,36.0,123.0,7.01,4.24,226.0
00-0036223,Jonathan Taylor,2022,2023,0,0.5032537960954447,232,192,40,4.484375,0.6310344827586207,0.6635111781216455,1,0.7127272727272728,23.0,2.0,41.0,11,13.30909090909091,19.0,1.0,4.39,36.0,123.0,7.01,4.24,226.0
00-0036223,Jonathan Taylor,2023,2024,0,0.40421052631578946,192,169,23,4.384615384615385,0.8145833333333333,0.3242128662315727,1,0.587,24.0,3.0,41.0,10,15.64,12.0,2.0,4.39,36.0,123.0,7.01,4.24,226.0
00-0036251,Zack Moss,2020,2021,0,0.3869047619047619,130,112,18,4.294642857142857,0.7815384615384615,0.0103029384091631,1,0.4414285714285714,22.0,0.0,86.0,13,7.815384615384615,51.0,2.0,4.65,33.0,,,4.37,223.0
00-0036251,Zack Moss,2021,2022,0,0.3192019950124688,128,96,32,3.59375,0.821875,-0.7801692752091635,1,0.4042857142857143,23.0,1.0,86.0,13,8.092307692307692,54.0,2.0,4.65,33.0,,,4.37,223.0
